term,Topic,Freq,Term
2473,7,0.794596647283524,다우존스
7951,7,0.9600265496594381,지속가능경영
9630,7,0.161595524833624,환경
5520,7,0.20405217951803786,아시아
7955,7,0.1871820606046662,지수
5991,7,0.19115961262013037,연속
4435,7,0.20676226567232436,사회적
2944,7,0.24506963442908725,디스플레이
4524,7,0.34969578570337223,상위
3917,7,0.16925623814009932,베트남
8545,7,0.22159405910060184,측면
7034,7,0.6051948996111638,자금조달
1851,7,0.03909724226031538,글로벌
3039,7,1.0,로베코샘
7714,7,0.3767099157939046,종합적
7994,7,0.2609783759179751,지표
5110,7,0.3225261323275981,스위스
6190,7,0.023327551030180103,올해
4748,7,0.07266294894274834,성과
7430,7,0.24702966212374766,점수
7586,7,0.45979764879852764,제일제당
7952,7,0.785177922938799,지속가능성
4797,7,0.023540847129164603,세계
4426,7,0.06132856391123194,사회
7914,7,0.01066349983509523,지난
9644,7,0.030479919915167727,활동
7958,7,0.021222430596876386,지역
4427,7,0.1709062599625402,사회공헌
1667,7,0.022958592721662608,국내
8839,7,0.033435098093018326,투자
4058,7,0.19610369949202314,봉사활동
9352,7,0.16670851552724028,항목
8762,7,0.5319159698351487,태평양
2883,7,0.4449642940883179,두산
4707,7,0.03265763886481102,선정
1236,7,0.159807801345859,경제적
6968,7,0.15545782742853914,임직원
8999,7,0.90426996483535,평가대상
2345,7,0.04191700912236887,노력
1216,7,0.10513703784739346,경영
5290,7,0.06516797453142165,신규
8209,7,0.06951710853587016,책임
5833,7,0.14991818949629918,업종
3530,7,0.013543020563240993,미국
229,7,0.26221707336787153,1999년
300,7,0.0580790277117038,2013년
3223,7,0.07665068562819675,매년
5697,8,0.4535361617219971,앨범
3744,8,0.47253006144640414,발매
5367,8,0.7074294400535645,신화
2705,8,0.25388979131880896,데뷔
4247,8,0.972383835608453,블랙핑크
8639,8,0.47070566943883024,컴백
1387,8,0.06555806179234429,공개
8959,8,0.1975906661508116,팬들
8138,8,0.5133694022312127,차트
128,8,0.9863473613952259,13집
90,8,0.0788069685783823,11월
4310,8,0.6107191232046352,빅스
7454,8,0.4806337239492515,정규
5478,8,0.8369573409820434,씨엔블루
6576,8,0.6291877096589538,음반
261,8,0.13607395466884953,1위
5876,8,0.15165003265278895,엔터테인먼트
9644,8,0.06891404727952362,활동
5441,8,0.2437943591017201,싱글
9731,8,0.8993792490479268,휘파람
9030,8,0.237451246752128,포스터
3873,8,0.11735648147956386,번째
6897,8,0.05079982676360524,일본
3765,8,0.05425404719286034,발표
6117,8,0.031207138816043947,예정
1809,8,0.07029318769552718,그룹
1095,8,0.08102449458509935,걸그룹
7914,8,0.01700554371541277,지난
8720,8,0.33124583862691376,타이틀
5337,8,0.23579101014519727,신인
9325,8,0.02044568527599211,함께
6587,8,0.24240431636687265,음원
5551,8,0.24242142027062993,아티스트
4885,8,0.15791045818626992,소속사
1932,8,0.047061095859102724,기대
6588,8,0.5317585648192578,음원사이트
6087,8,0.1423096270527611,예고
6701,8,0.01994332758241999,이번
263,8,0.1456763051812334,1일
1667,8,0.030925280398268282,국내
7455,8,0.9171177789179452,정규앨범
9382,8,0.059633736840336966,해외
7111,8,0.2478941145313546,작사
1985,8,0.006911973681027858,기자
7488,8,0.14377063401093756,정상
5288,8,0.129410566281017,신곡
8976,8,0.43382912708907545,펜타곤
827,8,0.4547070475671796,가요계
5531,8,0.21333198190640656,아이돌
6809,8,0.053358064342121724,인기
951,9,0.3884321174383248,강원
4562,9,0.1651342403958092,새누리당
5721,9,0.8616334653033104,양구군
6755,9,0.1943273861598461,이정
2430,9,0.0273563197702027,뉴스1
2667,9,0.03598559907662635,대표
7326,9,0.675746538840057,전망대
8462,9,0.6671123693286005,춘천시
8461,9,0.34761804225538223,춘천
6017,9,0.021973266729457618,연합뉴스
304,9,0.007067271013837003,2016
